dataset,task_id,episode_id,perspective,robot_type,src_img,tgt_img,action
task_593,593,804004,1st,a2d,task_593/images/ep_804004/frame_000495.png,task_593/images/ep_804004/frame_000540.png,task_593/actions/ep_804004/action_000495to000539.npy
task_719,719,871522,1st,a2d,task_719/images/ep_871522/frame_000360.png,task_719/images/ep_871522/frame_000405.png,task_719/actions/ep_871522/action_000360to000404.npy
task_584,584,807732,1st,a2d,task_584/images/ep_807732/frame_000225.png,task_584/images/ep_807732/frame_000270.png,task_584/actions/ep_807732/action_000225to000269.npy
task_567,567,798554,1st,a2d,task_567/images/ep_798554/frame_000090.png,task_567/images/ep_798554/frame_000135.png,task_567/actions/ep_798554/action_000090to000134.npy
task_593,593,805648,1st,a2d,task_593/images/ep_805648/frame_000045.png,task_593/images/ep_805648/frame_000090.png,task_593/actions/ep_805648/action_000045to000089.npy
task_575,575,806328,1st,a2d,task_575/images/ep_806328/frame_000270.png,task_575/images/ep_806328/frame_000315.png,task_575/actions/ep_806328/action_000270to000314.npy
task_587,587,805189,1st,a2d,task_587/images/ep_805189/frame_000495.png,task_587/images/ep_805189/frame_000540.png,task_587/actions/ep_805189/action_000495to000539.npy
task_542,542,778700,1st,a2d,task_542/images/ep_778700/frame_001440.png,task_542/images/ep_778700/frame_001485.png,task_542/actions/ep_778700/action_001440to001484.npy
task_619,619,839793,1st,a2d,task_619/images/ep_839793/frame_000135.png,task_619/images/ep_839793/frame_000180.png,task_619/actions/ep_839793/action_000135to000179.npy
task_734,734,885969,1st,a2d,task_734/images/ep_885969/frame_000045.png,task_734/images/ep_885969/frame_000090.png,task_734/actions/ep_885969/action_000045to000089.npy
task_575,575,808370,1st,a2d,task_575/images/ep_808370/frame_000315.png,task_575/images/ep_808370/frame_000360.png,task_575/actions/ep_808370/action_000315to000359.npy
task_429,429,684518,1st,a2d,task_429/images/ep_684518/frame_000990.png,task_429/images/ep_684518/frame_001035.png,task_429/actions/ep_684518/action_000990to001034.npy
task_429,429,686801,1st,a2d,task_429/images/ep_686801/frame_000315.png,task_429/images/ep_686801/frame_000360.png,task_429/actions/ep_686801/action_000315to000359.npy
task_587,587,803068,1st,a2d,task_587/images/ep_803068/frame_000135.png,task_587/images/ep_803068/frame_000180.png,task_587/actions/ep_803068/action_000135to000179.npy
task_719,719,874263,1st,a2d,task_719/images/ep_874263/frame_000585.png,task_719/images/ep_874263/frame_000630.png,task_719/actions/ep_874263/action_000585to000629.npy
task_719,719,870658,1st,a2d,task_719/images/ep_870658/frame_000090.png,task_719/images/ep_870658/frame_000135.png,task_719/actions/ep_870658/action_000090to000134.npy
