dataset,robot_type,perspective,src_img,tgt_img,action
G1edu-u3_pick_leftover_food_ac,,1st,G1edu-u3_pick_leftover_food_ac/images/ep_10/frame_003366.png,G1edu-u3_pick_leftover_food_ac/images/ep_10/frame_003376.png,G1edu-u3_pick_leftover_food_ac/actions/ep_10/action_003366to003375.npy
R1_Lite_move_the_position_of_the_spoon,galaxea_r1_lite,1st,R1_Lite_move_the_position_of_the_spoon/images/ep_19/frame_005506.png,R1_Lite_move_the_position_of_the_spoon/images/ep_19/frame_005516.png,R1_Lite_move_the_position_of_the_spoon/actions/ep_19/action_005506to005515.npy
G1edu-u3_place_metal_bowl_ae,,1st,G1edu-u3_place_metal_bowl_ae/images/ep_2/frame_000735.png,G1edu-u3_place_metal_bowl_ae/images/ep_2/frame_000745.png,G1edu-u3_place_metal_bowl_ae/actions/ep_2/action_000735to000744.npy
AIRBOT_MMK2_mobile_car,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_mobile_car/images/ep_41/frame_005588.png,AIRBOT_MMK2_mobile_car/images/ep_41/frame_005598.png,AIRBOT_MMK2_mobile_car/actions/ep_41/action_005588to005597.npy
G1edu-u3_pick_cup_a,,1st,G1edu-u3_pick_cup_a/images/ep_15/frame_005017.png,G1edu-u3_pick_cup_a/images/ep_15/frame_005027.png,G1edu-u3_pick_cup_a/actions/ep_15/action_005017to005026.npy
G1edu-u3_place_metal_bowl_af,,1st,G1edu-u3_place_metal_bowl_af/images/ep_1/frame_000292.png,G1edu-u3_place_metal_bowl_af/images/ep_1/frame_000302.png,G1edu-u3_place_metal_bowl_af/actions/ep_1/action_000292to000301.npy
G1edu-u3_put_the_lemon_on_the_plate_ah,,1st,G1edu-u3_put_the_lemon_on_the_plate_ah/images/ep_5/frame_001157.png,G1edu-u3_put_the_lemon_on_the_plate_ah/images/ep_5/frame_001167.png,G1edu-u3_put_the_lemon_on_the_plate_ah/actions/ep_5/action_001157to001166.npy
AIRBOT_MMK2_square_arrangement,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_square_arrangement/images/ep_5/frame_000890.png,AIRBOT_MMK2_square_arrangement/images/ep_5/frame_000900.png,AIRBOT_MMK2_square_arrangement/actions/ep_5/action_000890to000899.npy
AIRBOT_MMK2_place_the_small_bowl_of_canned_food,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_36/frame_005467.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/images/ep_36/frame_005477.png,AIRBOT_MMK2_place_the_small_bowl_of_canned_food/actions/ep_36/action_005467to005476.npy
AIRBOT_MMK2_beauty_sponge_and_cake_to_place,discover_robotics_aitbot_mmk2,1st,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/images/ep_7/frame_001246.png,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/images/ep_7/frame_001256.png,AIRBOT_MMK2_beauty_sponge_and_cake_to_place/actions/ep_7/action_001246to001255.npy
