dataset,type,perspective,src_img,src_state,tgt_img,tgt_state,action
VLABench,robot,3rd,images/ep_4126/frame_474275.png,states/ep_4126/state_474275.npy,images/ep_4126/frame_474305.png,states/ep_4126/state_474305.npy,actions/ep_4126/action_474275to474304.npy
VLABench,robot,3rd,images/ep_715/frame_081558.png,states/ep_715/state_081558.npy,images/ep_715/frame_081588.png,states/ep_715/state_081588.npy,actions/ep_715/action_081558to081587.npy
VLABench,robot,3rd,images/ep_4664/frame_537213.png,states/ep_4664/state_537213.npy,images/ep_4664/frame_537243.png,states/ep_4664/state_537243.npy,actions/ep_4664/action_537213to537242.npy
VLABench,robot,3rd,images/ep_2456/frame_282226.png,states/ep_2456/state_282226.npy,images/ep_2456/frame_282256.png,states/ep_2456/state_282256.npy,actions/ep_2456/action_282226to282255.npy
VLABench,robot,3rd,images/ep_4662/frame_536923.png,states/ep_4662/state_536923.npy,images/ep_4662/frame_536953.png,states/ep_4662/state_536953.npy,actions/ep_4662/action_536923to536952.npy
VLABench,robot,3rd,images/ep_3768/frame_432681.png,states/ep_3768/state_432681.npy,images/ep_3768/frame_432711.png,states/ep_3768/state_432711.npy,actions/ep_3768/action_432681to432710.npy
VLABench,robot,3rd,images/ep_2689/frame_308727.png,states/ep_2689/state_308727.npy,images/ep_2689/frame_308757.png,states/ep_2689/state_308757.npy,actions/ep_2689/action_308727to308756.npy
VLABench,robot,3rd,images/ep_3922/frame_451199.png,states/ep_3922/state_451199.npy,images/ep_3922/frame_451229.png,states/ep_3922/state_451229.npy,actions/ep_3922/action_451199to451228.npy
VLABench,robot,3rd,images/ep_2334/frame_267529.png,states/ep_2334/state_267529.npy,images/ep_2334/frame_267559.png,states/ep_2334/state_267559.npy,actions/ep_2334/action_267529to267558.npy
VLABench,robot,3rd,images/ep_524/frame_059420.png,states/ep_524/state_059420.npy,images/ep_524/frame_059450.png,states/ep_524/state_059450.npy,actions/ep_524/action_059420to059449.npy
VLABench,robot,3rd,images/ep_2229/frame_256091.png,states/ep_2229/state_256091.npy,images/ep_2229/frame_256121.png,states/ep_2229/state_256121.npy,actions/ep_2229/action_256091to256120.npy
VLABench,robot,3rd,images/ep_1155/frame_131603.png,states/ep_1155/state_131603.npy,images/ep_1155/frame_131633.png,states/ep_1155/state_131633.npy,actions/ep_1155/action_131603to131632.npy
VLABench,robot,3rd,images/ep_789/frame_089879.png,states/ep_789/state_089879.npy,images/ep_789/frame_089909.png,states/ep_789/state_089909.npy,actions/ep_789/action_089879to089908.npy
VLABench,robot,3rd,images/ep_4173/frame_479279.png,states/ep_4173/state_479279.npy,images/ep_4173/frame_479309.png,states/ep_4173/state_479309.npy,actions/ep_4173/action_479279to479308.npy
VLABench,robot,3rd,images/ep_3844/frame_441604.png,states/ep_3844/state_441604.npy,images/ep_3844/frame_441634.png,states/ep_3844/state_441634.npy,actions/ep_3844/action_441604to441633.npy
VLABench,robot,3rd,images/ep_232/frame_026460.png,states/ep_232/state_026460.npy,images/ep_232/frame_026490.png,states/ep_232/state_026490.npy,actions/ep_232/action_026460to026489.npy
VLABench,robot,3rd,images/ep_1821/frame_208733.png,states/ep_1821/state_208733.npy,images/ep_1821/frame_208763.png,states/ep_1821/state_208763.npy,actions/ep_1821/action_208733to208762.npy
VLABench,robot,3rd,images/ep_3952/frame_454296.png,states/ep_3952/state_454296.npy,images/ep_3952/frame_454326.png,states/ep_3952/state_454326.npy,actions/ep_3952/action_454296to454325.npy
VLABench,robot,3rd,images/ep_944/frame_107641.png,states/ep_944/state_107641.npy,images/ep_944/frame_107671.png,states/ep_944/state_107671.npy,actions/ep_944/action_107641to107670.npy
VLABench,robot,3rd,images/ep_3100/frame_355743.png,states/ep_3100/state_355743.npy,images/ep_3100/frame_355773.png,states/ep_3100/state_355773.npy,actions/ep_3100/action_355743to355772.npy
VLABench,robot,3rd,images/ep_3375/frame_387397.png,states/ep_3375/state_387397.npy,images/ep_3375/frame_387427.png,states/ep_3375/state_387427.npy,actions/ep_3375/action_387397to387426.npy
VLABench,robot,3rd,images/ep_1822/frame_208896.png,states/ep_1822/state_208896.npy,images/ep_1822/frame_208926.png,states/ep_1822/state_208926.npy,actions/ep_1822/action_208896to208925.npy
VLABench,robot,3rd,images/ep_1079/frame_122857.png,states/ep_1079/state_122857.npy,images/ep_1079/frame_122887.png,states/ep_1079/state_122887.npy,actions/ep_1079/action_122857to122886.npy
VLABench,robot,3rd,images/ep_573/frame_065015.png,states/ep_573/state_065015.npy,images/ep_573/frame_065045.png,states/ep_573/state_065045.npy,actions/ep_573/action_065015to065044.npy
VLABench,robot,3rd,images/ep_1717/frame_196322.png,states/ep_1717/state_196322.npy,images/ep_1717/frame_196352.png,states/ep_1717/state_196352.npy,actions/ep_1717/action_196322to196351.npy
VLABench,robot,3rd,images/ep_3473/frame_398553.png,states/ep_3473/state_398553.npy,images/ep_3473/frame_398583.png,states/ep_3473/state_398583.npy,actions/ep_3473/action_398553to398582.npy
VLABench,robot,3rd,images/ep_1842/frame_211344.png,states/ep_1842/state_211344.npy,images/ep_1842/frame_211374.png,states/ep_1842/state_211374.npy,actions/ep_1842/action_211344to211373.npy
VLABench,robot,3rd,images/ep_3253/frame_373629.png,states/ep_3253/state_373629.npy,images/ep_3253/frame_373659.png,states/ep_3253/state_373659.npy,actions/ep_3253/action_373629to373658.npy
VLABench,robot,3rd,images/ep_2543/frame_292104.png,states/ep_2543/state_292104.npy,images/ep_2543/frame_292134.png,states/ep_2543/state_292134.npy,actions/ep_2543/action_292104to292133.npy
VLABench,robot,3rd,images/ep_2653/frame_304718.png,states/ep_2653/state_304718.npy,images/ep_2653/frame_304748.png,states/ep_2653/state_304748.npy,actions/ep_2653/action_304718to304747.npy
VLABench,robot,3rd,images/ep_2447/frame_281350.png,states/ep_2447/state_281350.npy,images/ep_2447/frame_281380.png,states/ep_2447/state_281380.npy,actions/ep_2447/action_281350to281379.npy
